Name of file;Speaker;Topic;Start time;End time;Location
cmu.cs.proj.cimds-624_0;Ramana Reddy;isl seminar - 5/30;11:30;1:00;6423 Wean Hall
cmu.cs.proj.cimds-645_0;Beverly Kedzierski;Knowledge-Based Communication and Management Support;11:30;1:00;6423 Wean Hall
cmu.cs.proj.cimds-665_0;Mark Fox;Object Programming in SRL;11:00 AM;12:00 PM;ISL conference room
cmu.cs.proj.cimds-781_0;Dr Donald Kosy;Presentation of Ergo Project;11:00 AM;12:00 PM;DH3313
cmu.cs.proj.cimds-804_0;John C Akbari;Presentation of RESEARCHER project.;11:00 AM;12:00 PM;DH3313
cmu.cs.proj.cimds-897_0;Robert Booth;Planning, Designing, and Implementing an Information Architecture;5:00 PM;;Main Auditorium (1st Floor) GSIA
cmu.cs.proj.coda.general-393_0;STEPHEN PINK;INFORMAL TALK;1:30 PM;3:00 PM;WEAN HALL 7220
cmu.cs.proj.coda.general-447_0;;Practice talk;2:00 PM;;WeH 7220
cmu.cs.proj.coda.general-508_0;Toshinari Takahashi;File-based Network Collaboration System;10:30;12:00;WeH 8220
cmu.cs.proj.ergo-46_2;;Model Theory Seminar;4:30 PM;;WeH 6121
cmu.cs.proj.mt-322_0;Michael Lesk;Using machine-readable dictionaries;1:00;2:30;7220 Wean Hall
cmu.cs.proj.mt-494_0;;Zero Pronominals, Point-of-View, Empathy Perspective,;1:30 PM;;CMT conference room (Bdlg B 109
cmu.cs.proj.mt-615_0;Toshiaki Tsuboi;Speech Talk on Fri;10:00 AM;;CMT conference room (BoM 109)
cmu.cs.proj.mt-629_0;Dr Fred Jelinek;reminder: Jelinek lecture;3:30;5:00 PM;WeH 5403
cmu.cs.proj.mt-633_0;Robert DeKeyser;Job Talks in Modern Languages;1:30 PM;;Dean's Conference Room, Baker Hall 246A
cmu.cs.proj.mt-633_4;Susanne Carroll;Job Talks in Modern Languages;3:30 PM;;Dean's Conference Room, Baker Hall 246A
cmu.cs.proj.mt-640_0;;SOME ISSUES IN UNIFICATION GRAMMAR;3:00 PM;;CMT Conference Room, 109 Smith Hall
cmu.cs.proj.mt-706_0;Bob Carpenter;Comp. Ling. Talk Nov 5;12:00 PM;1:30 PM;Baker Hall 355
cmu.cs.proj.mt-709_0;Eric H Nyberg, 3rd;CMT Research Seminar Announcement;2:30 PM;;UCC 283
cmu.cs.proj.mt-712_0;Teruko Mitamura;CMT Research Seminar -- Tuesday, Nov. 24;4:00 PM;;UCC 279
cmu.cs.proj.mt-716_0;Ted Gibson;PP Attachment Preferences: Evidence from Psycholinguistic Studies;1:30 PM;;Baker Hall 237B
cmu.cs.proj.mt-728_0;Nagao;<speaker>Nagao</speaker> Talk;10:00;11:00 AM;CMT red conference room
cmu.cs.proj.nectar-117_0;Pat Savage;Two Interesting Talks on Thursday;2:30 PM;;Wean Hall 7220
cmu.cs.proj.nectar-146_0;Ernst Munter;Supercomputing Seminar this Friday;4:00 PM;;Wean 5409
cmu.cs.proj.nectar-157_0;Fred Christianson;Talk on production system;11:00 AM;;WH7220
cmu.cs.proj.nectar-162_0;Holliman;Talk by <speaker>Holliman</speaker> on Jan 8th;4:15 PM;;8220
cmu.cs.proj.nectar-185_0;Alan Huang;Optical Digital Computers;4:00 PM;;Wean Hall 5409
cmu.cs.proj.nectar-198_0;H T Kung;ITC Seminar on Mon., 4/22;11:00 AM;;ITC Lecture Room (Rm 279), UCC
cmu.cs.proj.nectar-43_0;Norman Christ;From Gigaflops to Teraflops, Parallel Supercomputers;4:00 PM;;Wean Hall 5409
cmu.cs.proj.nectar-62_0;Dr Cleve Moler;MATLAB;4:00 PM;;Wean Hall 5409
cmu.cs.proj.nectar-92_0;Yasuro Shobatake;An ATM Switch based on a CASO-banyan Network;1:30 PM;;Wean Hall 8220
cmu.cs.proj.speech-1065_0;Chris Schmandt;<speaker>Chris Schmandt</speaker> ITC talk.;2:00 PM;;
cmu.cs.proj.speech-1128_0;Toshiaki Tsuboi;Speech talk on Fri;10:00 AM;;CMT conference room (BoM 109
cmu.cs.proj.speech-120_0;Cam Searle;<speaker>Cam Searle</speaker>'s talks;1:30;2:30;WeH 8220
cmu.cs.proj.speech-1271_0;Murray Spiegel;NEW TIME: Speech Synthesis Talk 6/12;10:30 AM;;WEH 5409
cmu.cs.proj.speech-1293_0;Larry Stewart;The CRL Audio Server, AudioFile;12:00 PM;1:00 PM;Wean Hall 4623
cmu.cs.proj.speech-1339_0;Julia Hirschberg;intonation and discourse: <speaker>Julia Hirschberg</speaker> talk;12:00;1:30 PM;Porter Hall 126C
cmu.cs.proj.speech-1378_0;Nobutoshi Hanai;talk tomorrow;12:00;1:00;PH B34
cmu.cs.proj.speech-1386_0;Nobutoshi Hanai;Reminder: talk Tuesday;12:30;;PH B34
cmu.cs.proj.speech-1768_0;Uwe Meier;Lip Reading Architectures;10:00 AM;;Wean Hall 4616
cmu.cs.proj.speech-487_0;Fil Alleva;zapdash mini-seminar;2:30 PM;;Fil's office
cmu.cs.proj.speech-571_0;Hans-Werner Hein;speech recog talk;3:00 PM;;WeH8220
cmu.cs.proj.speech-701_0;;talk today;3:30;;Scaife
cmu.cs.proj.speech-824_0;Henrion;correction on <speaker>Henrion</speaker> talk;3:30;;Porter Hall 7A
cmu.cs.proj.speech-876_0;Paul Chou;Talk;11:00 AM;;4605 Wean
cmu.cs.proj.vdata-1036_0;Sarvajit S Sinha;AI Seminar / Vision Topic;3:30;5:00;WeH 5409
cmu.cs.proj.vdata-1066_0;Steve Cochran;Reminder: Vision Seminar TODAY;3:30 PM;;7220 Wean
cmu.cs.proj.vision-178_0;David Smith;IUS seminar tomorrow;3:30;;8220
cmu.cs.proj.vision-182_0;;IUS seminar for Monday lunch;12:45;;
cmu.cs.proj.vision-194_0;Larry O'Gorman;IUS seminar Monday at 3pm;3:00 PM;;WeH 8220
cmu.cs.proj.vision-198_0;Mel Siege;IUS seminar Monday;3:00 PM;;WeH 8220
cmu.cs.proj.vision-265_0;Steve Shafer;<speaker>Steve Shafer</speaker> at IUS seminar/9 April;3:30;;8220
cmu.cs.proj.vision-271_0;;IUS seminar 4/23;3:30;;8220
cmu.cs.proj.vision-273_0;Alberto Elfes;Sanderson group seminar;2:30;;WeH 4623
cmu.cs.proj.vision-280_0;Victor Milenkovic;<speaker>Victor Milenkovic</speaker> at IUS seminar 5/21;3:30;;8220
cmu.cs.proj.vision-283_0;;IUS seminar June 4;3:30;;8220
cmu.cs.proj.vision-289_0;Stuart Friedberg;<speaker>Stuart Friedberg</speaker> talking Friday;2:00;;8220
cmu.cs.proj.vision-383_0;Clif McVay;IUS seminar today;3:30 PM;;8220
cmu.cs.proj.vision-471_0;Dr Aviad Zlotnick;Vision Seminar 1:30 TODAY;1:30;;5409 Wean Hall
cmu.cs.proj.vision-597_0;Sanjoy Mitter;ECE Seminar on Vision;3:30 PM;;Scaife Hall Auditorium
cmu.cs.proj.vision-664_0;Dr Koji Ikuta;Shape Memory Alloy Servo Actuator;3:30 PM;4:30pm;4605 Wean Hall
cmu.cs.proj.vision-666_0;Dr Walter Kropatsch;Special Seminar in Digital Mapping;10:00;11:30;8220 Wean
cmu.cs.proj.vision-700_0;Dr David G Goodenough;AI talk in Remote Sensing;3:30;5:00;WeH 5409
cmu.cs.proj.vision-706_0;Toni Gunzinger;Special Seminar 6/14/90;10:00 AM;;Wean Hall 7220
cmu.cs.proj.warp.iwarp-184_0;Mr Takeshi Horie;AP1000 talk;4:00 PM;;
cmu.cs.proj.warp.iwarp-524_0;Prof KGopinath;Seminar;3:30 PM;;WeH 5403
cmu.cs.proj.warp.iwarp-987_0;Brezany;Special CS Seminar 6/6 <stime>3:00 p.m</stime>. <speaker>Brezany</speaker> (Univ. of Vienna) <location>WeH 8220</location>;3:00 pm;;WeH 8220
cmu.cs.robotics-1018_0;Ralph Hollis;Lorentz Levitation Technology:;3:30 PM;5:00 PM;ADAMSON WING Auditorium in Baker Hall
cmu.cs.robotics-1028_0;Michael Erdmann;Dealing with Uncertainty by Designing Action-Based Sensors;3:30 PM;5:00 PM;ADAMSON WING Auditorium in Baker Hall
cmu.cs.robotics-1034_0;Michael Erdmann;Dealing with Uncertainty by Designing Action-Based Sensors;3:30 PM;5:00 PM;ADAMSON WING Auditorium in Baker Hall
cmu.cs.robotics-1035_0;Alonzo Kelly;Systems Design of An Off Road Autonomous Navigator;3:30 PM;5:00 PM;ADAMSON WING Auditorium in Baker Hall
cmu.cs.robotics-1069_0;John Lloyd;Sensor-Driven Robot Control: Programming,;3:30 PM;5:00 PM;ADAMSON WING Auditorium in Baker Hall
cmu.cs.robotics-1149_4;;Univ. Teaching Ctr Grad Seminars - Summer 1994;2:00;3:30 PM;Warner Hall 415
cmu.cs.robotics-1149_5;;Univ. Teaching Ctr Grad Seminars - Summer 1994;2:00;3:30 PM;Warner Hall 415
cmu.cs.robotics-1189_0;Conrad Poelman;Social Calendar: Grad Seminar, Movie night, & Robowar V;12:00 PM;;Robolounge (314 BoM D)
cmu.cs.robotics-1203_0;Hugh Durrant-Whyte;Navigation and Control of High-Speed Land Vehicles;3:30;5:00;WeH 4623
cmu.cs.robotics-1236_0;Tony DeRose;Subdivision Surfaces: The Successors to NURBS?;10:00;11:30 AM;EDRC Conference Hall - 1202 Hamburg Hall
cmu.cs.robotics-1243_0;Richard Szeliski;Image Mosaicing for Tele-Reality Applications;3:30 PM;5:00 PM;ADAMSON WING Auditorium in Baker Hall
cmu.cs.robotics-1245_0;;IC Research Symposium;7:00 PM;;Wean 4623
cmu.cs.robotics-1269_0;Ramesh Bollapragada;AN ASYNCHRONOUS TEAM SOLUTION TO SCHEDULING STEEL PLANTS;1:00 PM;;4623 WEAN HALL
cmu.cs.robotics-1293_0;Antal Bejczy;<speaker>Antal Bejczy</speaker> Lecture Nov. 11;1:30;;Wean 4623
cmu.cs.robotics-1297_0;Tony Stentz;The D* Algorithm for Real-Time Path Replanning;3:30 PM;5:00 PM;ADAMSON WING Auditorium in Baker Hall
cmu.cs.robotics-1304_0;Dan Huttenlocher;Using Two-Dimensional Image Matching to Interpret the Three-Dimensional World;3:30 PM;5:00 PM;ADAMSON WING Auditorium in Baker Hall
cmu.cs.robotics-1316_0;John Bares;Dante II and Beyond: Exploration Robots;3:30 PM;5:00 PM;ADAMSON WING Auditorium in Baker Hall
cmu.cs.robotics-1341_0;Jerome Feldman;pSather 1.0 - A Simpler Second System;1:00 PM;;4615A Wean Hall
cmu.cs.robotics-136_0;Reid Simmons;An Autonomous Walking Robot for Planetary Exploration;3:30 PM;4:30 pm;Baker Hall, Adamson Wing
cmu.cs.robotics-137_0;Jill Fain Lehman;SCS AI Seminar Next Tuesday;3:30;5:00;WeH 5409
cmu.cs.robotics-138_0;Reid Simmons;An Autonomous Walking Robot for Planetary Exploration;3:30 PM;4:30 pm;Baker Hall, Adamson Wing
cmu.cs.robotics-1401_0;Mel Siegel;3D-TV (and Workstations);3:30 PM;5:00 PM;ADAMSON WING Auditorium in Baker Hall
cmu.cs.robotics-1427_0;Jeff Schneider;Robot Skill Learning Through Intelligent Experimentation;3:30 PM;5:00 PM;ADAMSON WING Auditorium in Baker Hall
cmu.cs.robotics-142_0;Professor Reuven Karni;Exploring the autonomous learning problem with mathematical programming;1:30;2:30 PM;Doherty Hall 3313
cmu.cs.robotics-1442_0;Paolo Dario;Robots for the Assistance to the Disabled and the Elderly:;3:30 PM;5:00 PM;ADAMSON WING Auditorium in Baker Hall
cmu.cs.robotics-1445_0;Oren Etzioni;Learning to Understand Information on the Internet.;3:30 PM;;5409 Wean Hall
cmu.cs.robotics-1478_0;Simon Penny;Autonomous Interactive Artwork;3:30 PM;5:00 PM;ADAMSON WING Auditorium in Baker Hall
cmu.cs.robotics-1479_0;Harold Cohen;AARON: In Living Color;3:30 PM;;5409 Wean Hall
cmu.cs.robotics-1492_0;Anita M Flynn;TODAY *ROOM CHANGE*  Anita Flynn's Talk (Faculty Candidate): Smith 125.;3:30;5:00;Smith Hall 125
cmu.cs.robotics-1495_0;Shree K Nayar;"Upcoming Robotics Seminars: Apr 14 none; Apr 21 Shree Nayar.";3:30;5:00;Adamson Wing, Baker Hall
cmu.cs.robotics-150_0;Assistant Professor Subhas Desa;ON CHOOSING THE BEST FEEDBACK CONTROL STRATEGY FOR;3:30 PM;4:30 pm;Baker Hall, Adamson Wing
cmu.cs.robotics-1511_0;Dr Kishan Bahet;Control and Manufacturing Research and Education Programs;3:30 PM;5:00 PM;ADAMSON WING Auditorium in Baker Hall
cmu.cs.robotics-153_0;Assistant Professor Subhas Desa;ON CHOOSING THE BEST FEEDBACK CONTROL STRATEGY FOR;3:30 PM;4:30 pm;Baker Hall, Adamson Wing
cmu.cs.robotics-158_0;Dinesh K Pai;Programming Complex Mechanical Systems with Applications;3:30 PM;4:30 pm;Baker Hall, Adamson Wing
cmu.cs.robotics-165_0;Robert French;AI Seminar Next Tuesday;3:30;5:00;WeH 5409
cmu.cs.robotics-171_0;Russell H Taylor;Medical Robotics: A Step Toward Computer Integrated Medicine;3:30 PM;4:30 pm;Baker Hall, Adamson Wing
cmu.cs.robotics-183_0;Professor Hirofumi Miura;Dexterity and Intelligence in Robotic Systems;3:30 PM;4:30 pm;Baker Hall, Adamson Wing
cmu.cs.robotics-197_0;Jeff Koechling;Control Strategies for Intermittent Dynamic Tasks;3:30 PM;4:30 pm;Baker Hall, Adamson Wing
cmu.cs.robotics-199_0;Didier Dubois;AI Seminar This Friday;2:00;3:30;WeH 5409
cmu.cs.robotics-247_0;Michelle Messenger;apE visualization software talk this Tue.;3:30 PM;;WeH 4623
cmu.cs.robotics-255_0;D Navinchandra;Product Design for Environmental Compatibility;2:00 PM;3:00 PM;3313 Doherty Hall
cmu.cs.robotics-256_0;D Navinchandra;Product Design for Environmental Compatibility;2:00 PM;3:00 PM;3313 Doherty Hall
cmu.cs.robotics-269_0;Milind Tambe;CIMDS SEMINAR;12:00 PM;1:00 PM;3313 Doherty (Large Conf Room
cmu.cs.robotics-278_0;DONATH;<speaker>DONATH</speaker> TALK MOVED;1:30;3:00 PM;Wean 4623
cmu.cs.robotics-282_0;Prof John Canny;Robotics Seminar, <speaker>Prof. John Canny</speaker>, Friday Oct 11, <stime>3:30</stime>, <location>Adamson Wing, Baker Hall</location>;3:30;;Adamson Wing, Baker Hall
cmu.cs.robotics-284_0;Patrick T K Fung;Special Robotics Seminar;1:30;2:30 PM;Wean Hall  5205
cmu.cs.robotics-295_0;;RI Symposium;8:30 AM;6:30 PM;SEI Auditorium
cmu.cs.robotics-298_0;Li;REMINDER - <speaker>Li</speaker> Talk Today;1:30;3:00 PM;8220 WeH
cmu.cs.robotics-299_0;Fritz Prinz;The Programmable Automated Welding System;12:00 PM;1:00 PM;3313 Doherty Hall
cmu.cs.robotics-302_0;Prof Jean-Claude Latombe;Robotics Seminar, <speaker>Prof. Jean-Claude Latombe</speaker>, Friday Oct 25, <stime>3:45</stime>, Doherty Hall 1112;3:45;;Doherty Hall 1112
cmu.cs.robotics-310_0;Lev Goldfarb;Goldfarb Seminar;4:00 PM;;Wean 4605
cmu.cs.robotics-326_0;Dr Chris McGlone;VISION Seminar TODAY;2:00 PM;3:00 PM;Wean 4634
cmu.cs.robotics-331_0;Jeff Kerr;Robotics Seminar, <speaker>Jeff Kerr</speaker>, Friday Nov 22, <stime>3:30</stime>, Adamson Wing, Baker Hall;3:30;;Adamson Wing, Baker Hall
cmu.cs.robotics-337_0;Driscoll;Robotics Seminar (<speaker>Driscoll</speaker>);3:30;5:00;Adamson Wing, Baker Hall
cmu.cs.robotics-340_0;James Driscoll;There is more to life than the FFT;3:30;5:00;Adamson Wing, Baker Hall
cmu.cs.robotics-389_1;;Theory Seminar, Feb. 14, 1992;3:30 PM;;WeH 5409
cmu.cs.robotics-407_0;Richard W Longman;Learning Control for Improved Performance in;3:30 PM;;Baker Hall, Adamson Wing
cmu.cs.robotics-418_0;Josef Skrzypek;Neural net models of lightness and color constancy.;3:30;5:00 PM;Wean Hall 7220
cmu.cs.robotics-426_0;Dr Kam W Wong;Computer vision and geometric measurement;3:30;4:30;Adamson Wing, Baker Hall
cmu.cs.robotics-443_0;Manocha;Reminder: <speaker>Manocha</speaker> Talk today;3:30 PM;;Wean Hall 4623
cmu.cs.robotics-447_0;Dan Koditschek;Robotics/Planning Talk: Dan Koditschek;3:30;5:00 PM;Wean 4623
cmu.cs.robotics-534_0;DR Yuan F Zheng;RI SEMINAR CORRECTION;3:30;5:00 PM;DOHERTY HALL 2315
cmu.cs.robotics-583_0;"Dr William ""Red"" L Whittaker";Antarctic Exploration Robotics;3:30;5:00 PM;Baker Hall Adamson Wing
cmu.cs.robotics-586_0;"Dr William ""Red"" L Whittake";Antarctic Exploration Robotics;3:30;5:00 PM;Baker Hall Adamson Wing
cmu.cs.robotics-590_0;Gregory D Hager;Techniques for Task-Directed Sensor Data;3:30;5:00 PM;DOHERTY HALL 2315
cmu.cs.robotics-639_0;Elisha Sacks;Graphics Seminar, Thu Nov 12, Kinematics;3:00;4:30;Wean 4623
cmu.cs.robotics-646_0;Professor Franz Leberl;Radargrammetric Processing of Magellan Images of the Planet Venus;3:30;5:00 PM;Wean Hall 4625
cmu.cs.robotics-647_0;Elisha Sacks;reminder: <speaker>Elisha Sacks</speaker> talk TODAY;3:00;4:30;Wean 4623
cmu.cs.robotics-648_0;Charles R Price;Space Robotics Activities at the Johnson Space Center;3:30 PM;;Baker Hall Adamson Wing
cmu.cs.robotics-703_0;PAUL S HECKBERT;FILTERS FOR IMAGE RESAMPLING;3:30 PM;5:00 PM;ADAMSON WING Auditorium in Baker Hall
cmu.cs.robotics-724_0;Daniela Rus;FINE MOTION PLANNING FOR DEXTEROUS MANIPULATION;3:30 PM;5:00 PM;ADAMSON WING Auditorium in Baker Hall
cmu.cs.robotics-742_0;KLAUS FISCHER;SOLVING SCHEDULING PROBLEMS WITH THE HELP OF MULTI-AGENT SYSTEMS;3:30 PM;5:00 PM;ADAMSON WING Auditorium in Baker Hall
cmu.cs.robotics-743_0;Jarek Rossignac;BEZIER-MINKOWSKI METAMORPHOSIS & INTERACTIVE GEOMETRIC MODELING;3:30;4:30;Wean 4623
cmu.cs.robotics-766_0;Steve Chien;Seminar;12:00;1:00;Doherty Hall
cmu.cs.robotics-788_0;Ed Nicolson;RI SEMINARS;3:30 PM;5:00 PM;Adamson Wing Auditorium
cmu.cs.robotics-834_0;Peter Eggleston;Talk on object segmentation techniques and constraint based feature indexing;3:00 PM;;WeH4623
cmu.cs.robotics-967_0;Alex Pentland;MULTIPLE-MODEL MACHINE VISION;2:00;3:30 PM;WeH 4601
cmu.cs.robotics.students-417_0;;TA seminars, UTC Grad support F94;9:00;10:15 AM;Cyert Hall 119
cmu.cs.robotics.students-525_1;;S95 Graduate Seminar Schedule;4:15;6:15 PM;Carnegie Conference Room, Warner Hall
cmu.cs.robotics.students-597_0;Dave Gould;Financial Aid Seminar this Thursday;4:30;6:30 PM;Adamson Wing, Baker Hall
cmu.cs.robotics.students-613_2;;Univ. Teaching Ctr. summer seminars;2:00;3:30 PM;Carnegie Conference Room,
cmu.cs.robotics.students-613_3;;Univ. Teaching Ctr. summer seminars;2:00;3:30 PM;Carnegie Conference Room,
cmu.cs.robotics.students-613_4;;Univ. Teaching Ctr. summer seminars;2:00;3:30 PM;Carnegie Conference Room,
cmu.cs.scs-1043_0;Laurent Renouard;"Talk: ""DTM from SPOT and Aerial Images""";2:00 PM;;WeH 4625
cmu.cs.scs-1109_0;DR Navin Chandra;Green Engineering: Rethinking Engineering Design And;3:30;5:00 PM;BAKER HALL ADAMSON WING
cmu.cs.scs-1111_0;Rajive Bagrodia;Iterative Design of Efficient Parallel Programs;2:30 PM;;Wean Hall 4605
cmu.cs.scs-1133_0;DrTed Adelson;Elemental measurements in vision.;3:30 PM;5:00 PM;Baker Hall - Adamson Wing
cmu.cs.scs-1154_0;DrTed Adelson;Elemental measurements in vision.;3:30 PM;5:00 PM;Baker Hall - Adamson Wing
cmu.cs.scs-1158_1;David A Padua;PSC/CS Seminar: additonal speakers;4:00 PM;;Wean Hall 5403
cmu.cs.scs-118_0;;Programming Systems Seminar;3:30;5:00;WeH 5409
cmu.cs.scs-1213_0;"Dr William ""Red"" L Whittaker";Antarctic Exploration Robotics;3:30;5:00 PM;Baker Hall Adamson Wing
cmu.cs.scs-1237_0;DOUG TYGAR;1ST ANNUAL SCS HOMECOMING LECTURE;3:00 PM;;Wean 7500
cmu.cs.scs-1246_0;Asst Professor Harold L Alexander;Research in Teleoperated and Cooperative Control;3:30;5:00 PM;Baker Hall Adamson Wing
cmu.cs.scs-1288_0;David L House;THE FUTURE OF COMPUTING-Lecture;3:30 PM;;Adamson Wing, Baker Hall
cmu.cs.scs-1305_0;Paul Haeberli;"GRAPHICS SEMINAR: Nov. 11, ""Computer Graphics Snacks""";2:40;4:00;Baker Hall, Adamson Wing
cmu.cs.scs-1327_0;Charles R Price;Space Robotics Activities at the Johnson Space Center;3:30 PM;;Baker Hall Adamson Wing
cmu.cs.scs-134_0;Valdes-Perez;IC Talks rescheduled;9:00;10:20;Wean 4605
cmu.cs.scs-1354_0;Elisha Sacks;reminder: <speaker>Elisha Sacks</speaker> talk TODAY;3:30;4:30;Wean 4623
cmu.cs.scs-1374_0;Teruko Mitamura;CMT Research Seminar;4:00 PM;;UCC 279
cmu.cs.scs-1382_0;Eric Krotkov;Autonomous Walking for the Ambler Planetary;3:30;5:00 PM;Baker Hall - Adamson Wing
cmu.cs.scs-1388_0;PROFESSOR HERB SIMON;Distinguished Lecture December 2;3:30 PM;;Wean Hall 7500
cmu.cs.scs-1424_0;Mick Dungworth;CS/PSC Seminar today @ 4:00 in Mellon Inst. on Cray MPP;4:00;;3rd Floor Conference Room, Mellon Institute Building
cmu.cs.scs-144_0;Patrick T K Fung;Space Robotics Seminar;1:30;2:30 PM;Wean Hall  5205
cmu.cs.scs-1501_0;Anders Bondorf;POP SEMINAR;3:00;4:00 PM;WeH 8220
cmu.cs.scs-1526_0;Ken Miura;CS/PSC Seminar 1/22: Miura on Fujitsu VPP 500;4:00 PM;;3rd Floor Conference Room
cmu.cs.scs-1542_0;Gian Aldo Antonelli;A Revision-Theoretic Analysis of the Arithmetical Hierarchy;3:30 PM;;WEH 5409
cmu.cs.scs-1574_0;David A Patterson;WWC: Picturetel seminar: Patterson, Feb 10, <stime>7</stime>-8:30 pm, <location>4623 WeH</location>;7;8:30 PM;4623 WeH
cmu.cs.scs-1582_0;Prof Patterson;Change!!: Wed WWC PictureTel Seminar;7:15;8:15 PM;4623 Wean Hall
cmu.cs.scs-1582_1;;Change!!: Wed WWC PictureTel Seminar;7:00 PM;8:30 PM;
cmu.cs.scs-1588_0;Rajiv Gupta;Program Dependence Graph and Static Single Assignment forms;9:00 AM;;WeH 5409
cmu.cs.scs-1591_0;Rajiv Gupta;Re: Lecture by <speaker>Rajiv Gupta</speaker>, Univ of Pittsburgh, Feb 12, <stime>9 AM</stime>;9 AM;;WeH 5409
cmu.cs.scs-1594_0;Christos H Papadimitriou;WWC video seminar: Feb 17 7:15-8:15 pm <location>4623 WeH</location> Christos H. Papadimitriou;7:15;8:15 PM;4623 WeH
cmu.cs.scs-1600_1;;Tax Seminar for Non-Residents;12:00;1:30;Wherret Room of Skibo
cmu.cs.scs-1628_0;Richard Ewing;PSC/CS Seminar 3/5 4:00 R. Ewing on Reservoir Simulation;4:00;;3rd Floor Conference Room, Mellon Institute
cmu.cs.scs-1636_0;PROFESSOR RUZENA BAJCSY;March 17 Distinguished Lecture;3:30 PM;;Wean Hall 7500
cmu.cs.scs-1645_0;Steve Frank;PSC/CS Seminar 3/12 <stime>4:00</stime> <location>WeH 5202</location> S. Frank of KSR Inc.;4:00;;WeH 5202
cmu.cs.scs-1649_0;Amy Zwarico;"""Testing Preorders for Reactive Real-Time Processes""";3:30 PM;5:00 PM;Wean Hall 5409
cmu.cs.scs-1817_0;;MSE End-of-Semester Presentation;1:30;3:00 PM;SEI A104 (video room
cmu.cs.scs-1841_0;Karlis Mateus;Healthy Office Seminar;1:00 PM;;Wean
cmu.cs.scs-201_0;Burton J Smith;PSC Seminar today @ 4:00: Tera Comp.;4:00;;Mellon Institute Bldg
cmu.cs.scs-2131_0;Steve Lucco;Short talk on Data Breakpoints;11:50;12:00;Wean 5409
cmu.cs.scs-2147_0;Ron P Loui;Special AI Seminar;3:30 PM;;4623 Wean Hall
cmu.cs.scs-2166_14;;reminder: grad student teaching seminars;7:00;9:00 PM;
cmu.cs.scs-2166_8;;reminder: grad student teaching seminars;2:00;5:00 PM;Media Classroom, Hunt Library
cmu.cs.scs-2204_0;DR MARK WEISER;SCS Distinguished Lecture Oct. 7;4:00 PM;;Wean Hall 7500
cmu.cs.scs-2206_0;Marc Snir;PSC/CS Seminar 10/8 <stime>4:00 pm</stime> <location>WeH 5409</location>: Marc Snir of IBM;4:00 pm;;WeH 5409
cmu.cs.scs-2246_0;Andreas  Nowatzyk;CS/PSC Seminar 10/22 @ <stime>4:00 p.m</stime> <location>WeH 5409</location> A. Nowatzyk of Sun;4:00 pm;;WeH 5409
cmu.cs.scs-2253_0;Rich Korf;Best-First Minimax Search;3:30 PM;;4623 Wean Hall
cmu.cs.scs-2261_0;Herbert Simon;The EPAM Model of Experts' Discrimination and Learning:;3:30 PM;;5409 Wean Hall
cmu.cs.scs-2285_0;Clark Glymour;Automated Casual Inference: Recent Work and Open Problems;3:30 PM;;5409 Wean Hall
cmu.cs.scs-2301_0;Prof Klaus Sutner;"""Teaching Automata Theory by Computer""";12:00 PM;;WeH 4623
cmu.cs.scs-2347_0;Kris Hammond;Actualized Intelligence: Planning and Acting in Dynamic Environments;3:30 PM;;5409 Wean Hall
cmu.cs.scs-2363_0;;MSE End-of-Semester Presentation;11:00 AM;12:00 PM;SEI Auditorium
cmu.cs.scs-2378_0;Kai Li;CS/PSC Seminar 12/3 4:00pm <speaker>Kai Li</speaker> <location>WeH 5409</location>;4:00 PM;;WeH 5409
cmu.cs.scs-2413_0;Maxine Eskenazi;Speech Seminar;1:30;3:30;4623 Wean Hall
cmu.cs.scs-242_0;Nathaniel S Borenstein;PS Seminar;3:30 PM;5:00 PM;WeH 5409
cmu.cs.scs-250_0;Nathaniel S Borenstein;PS Seminar;3:30 PM;5:00 PM;WeH 5409
cmu.cs.scs-2564_0;Michael Christel;HCI Seminar 1/26;3:30;5:00;WeH 5409
cmu.cs.scs-2565_0;Alonzo Kelly;Systems Design of An Off Road Autonomous Navigator;3:30 PM;5:00 PM;ADAMSON WING Auditorium in Baker Hall
cmu.cs.scs-257_0;J E Smith;PSC/CS Seminar 11/1 4:00 <location>WeH 5403</location>: J. Smith of Cray Research;4:00;;WeH 5403
cmu.cs.scs-2580_0;Dan Weld;Planning: Recent Results;3:30 PM;;5409 Wean Hall
cmu.cs.scs-260_0;Wayne Snyder;Basic Paramodulation and Basic Strict Superposition;3:30 PM;;WeH 5409
cmu.cs.scs-2641_0;Guy L Steele, Jr;High Performance Fortran;4:00 PM;;3rd Floor Conference Room
cmu.cs.scs-2643_0;Tom Landauer;HCI Seminar Feb 16;3:30;5:00;WeH 5409
cmu.cs.scs-2644_4;James McWilliams;CS/PSC SEMINARS/SPRING 94;4:00 PM;;3rd Floor Conference Room
cmu.cs.scs-2666_0;Gary Miller;CS/PSC Seminar today @ 4:00 G. Miller <location>WeH 5409</location>;4:00;;WeH 5409
cmu.cs.scs-2669_0;Eugene Charniak;Improved Statistical Language Models from Syntactic Parsing;3:30 PM;;5409 Wean Hall
cmu.cs.scs-2733_0;Mike Eisenberg;HCI Seminar March 23;3:30;5:00 PM;Wean Hall 5409
cmu.cs.scs-2753_0;Mike Eisenberg;March 23 HCI Seminar;3:30;5:00 PM;Wean Hall 5409
